invoice_id,project_id,invoice_date,amount,status
I00001,P001,2024-07-14,10767.29,overdue
I00002,P001,2024-08-02,10689.98,overdue
I00003,P002,2024-06-24,8727.06,overdue
I00004,P002,2024-03-08,9016.13,paid
I00005,P002,2024-02-18,8915.22,sent
I00006,P002,2024-04-21,8933.32,sent
I00007,P003,2024-01-31,27521.51,paid
I00008,P003,2024-03-09,29869.84,paid
I00009,P004,2024-05-09,24121.58,overdue
I00010,P004,2024-05-08,24200.91,paid
I00011,P005,2024-05-04,8632.15,overdue
I00012,P005,2024-05-14,8214.1,sent
I00013,P005,2024-05-19,8217.03,overdue
I00014,P005,2024-04-13,9054.41,overdue
