marketing_id,project_id,spend_date,channel,amount
M00001,P001,2024-07-20,events,424.45
M00002,P001,2024-07-25,search,577.71
M00003,P001,2024-06-28,email,564.92
M00004,P002,2024-05-12,events,723.3
M00005,P002,2024-04-15,search,246.5
M00006,P003,2024-02-22,email,746.17
M00007,P003,2024-02-15,email,716.22
M00008,P004,2024-05-05,events,525.06
M00009,P004,2024-02-23,search,252.78
M00010,P005,2024-04-30,events,261.71
M00011,P005,2024-05-05,social,395.97
M00012,P005,2024-05-18,email,271.88
