cost_id,project_id,cost_date,cost_type,amount
C00001,P001,2024-06-07,equipment,259.1
C00002,P001,2024-07-07,software,1197.05
C00003,P001,2024-07-27,equipment,847.45
C00004,P002,2024-04-21,contractor,518.34
C00005,P002,2024-05-17,travel,789.61
C00006,P002,2024-02-19,software,771.49
C00007,P002,2024-06-06,contractor,465.23
C00008,P002,2024-03-11,travel,1319.93
C00009,P003,2024-02-16,contractor,370.0
C00010,P003,2024-02-19,equipment,614.85
C00011,P003,2024-03-02,equipment,547.71
C00012,P003,2024-02-03,software,325.86
C00013,P003,2024-02-09,contractor,1323.41
C00014,P004,2024-03-20,software,1257.52
C00015,P004,2024-05-01,travel,446.78
C00016,P004,2024-03-09,contractor,1494.76
C00017,P004,2024-04-17,contractor,1342.8
C00018,P004,2024-04-21,equipment,317.06
C00019,P004,2024-04-08,contractor,1456.69
C00020,P005,2024-05-14,travel,263.26
C00021,P005,2024-04-06,contractor,976.77
C00022,P005,2024-04-30,travel,897.7
C00023,P005,2024-03-14,contractor,374.12
