workday_id,student_id,project_id,work_date,hours_worked,daily_salary
W000001,S00001,P001,2024-07-31,4,176.08
W000002,S00001,P001,2024-06-11,5,220.1
W000003,S00001,P001,2024-06-19,4,176.08
W000004,S00001,P001,2024-06-18,4,176.08
W000005,S00001,P001,2024-06-08,6,264.12
W000006,S00001,P001,2024-06-25,4,176.08
W000007,S00001,P001,2024-06-05,8,352.16
W000008,S00001,P001,2024-07-11,5,220.1
W000009,S00001,P001,2024-07-09,6,264.12
W000010,S00001,P001,2024-08-03,7,308.14
W000011,S00001,P001,2024-07-30,5,220.1
W000012,S00001,P001,2024-07-28,8,352.16
W000013,S00001,P001,2024-06-04,5,220.1
W000014,S00001,P001,2024-08-02,8,352.16
W000015,S00001,P001,2024-07-19,8,352.16
W000016,S00001,P001,2024-07-14,7,308.14
W000017,S00002,P001,2024-08-03,7,308.14
W000018,S00002,P001,2024-07-25,4,176.08
W000019,S00002,P001,2024-06-30,4,176.08
W000020,S00002,P001,2024-06-16,4,176.08
W000021,S00002,P001,2024-06-10,7,308.14
W000022,S00002,P001,2024-08-02,6,264.12
W000023,S00002,P001,2024-07-16,4,176.08
W000024,S00002,P001,2024-07-01,5,220.1
W000025,S00002,P001,2024-06-26,5,220.1
W000026,S00002,P001,2024-07-30,5,220.1
W000027,S00002,P001,2024-08-04,8,352.16
W000028,S00003,P001,2024-06-21,4,176.08
W000029,S00003,P001,2024-07-01,4,176.08
W000030,S00003,P001,2024-06-15,5,220.1
W000031,S00003,P001,2024-08-06,5,220.1
W000032,S00003,P001,2024-07-03,7,308.14
W000033,S00003,P001,2024-06-19,7,308.14
W000034,S00003,P001,2024-07-29,7,308.14
W000035,S00003,P001,2024-06-08,5,220.1
W000036,S00003,P001,2024-07-02,7,308.14
W000037,S00003,P001,2024-07-25,4,176.08
W000038,S00003,P001,2024-07-09,5,220.1
W000039,S00003,P001,2024-06-10,7,308.14
W000040,S00003,P001,2024-06-07,4,176.08
W000041,S00003,P001,2024-07-15,7,308.14
W000042,S00003,P001,2024-07-08,6,264.12
W000043,S00004,P001,2024-07-10,8,194.8
W000044,S00004,P001,2024-07-01,4,97.4
W000045,S00004,P001,2024-07-18,6,146.1
W000046,S00004,P001,2024-07-20,4,97.4
W000047,S00004,P001,2024-07-24,4,97.4
W000048,S00004,P001,2024-07-09,8,194.8
W000049,S00004,P001,2024-07-16,7,170.45
W000050,S00004,P001,2024-07-19,8,194.8
W000051,S00004,P001,2024-07-05,8,194.8
W000052,S00004,P001,2024-06-13,5,121.75
W000053,S00004,P001,2024-06-16,4,97.4
W000054,S00004,P001,2024-06-22,8,194.8
W000055,S00004,P001,2024-06-17,4,97.4
